name,aliases,indications,cautions
木香,广木香、云木香,脾胃气滞、脘腹胀痛、食积不消、不思饮食、泻痢后重,阴虚津亏、血燥者慎用；脏腑燥热者不宜
枳实,川枳实、江枳实,食积气滞、脘腹痞满胀痛、泻痢后重、大便不通、痰滞气阻胸痹,脾胃虚弱、孕妇慎用
枳壳,川枳壳、江枳壳,胸胁气滞、胀满疼痛、食积不化、痰饮内停,孕妇慎用；脾胃虚弱者不宜
香附,香附子、莎草根,肝郁气滞、胸胁脘腹胀痛、消化不良、月经不调、经闭痛经,气虚无滞、阴虚血热者慎用
乌药,台乌药、天台乌,寒凝气滞、胸腹胀痛、气逆喘急、膀胱虚冷、遗尿尿频、疝气痛经,气虚者不宜；孕妇慎用
佛手,佛手柑、五指柑,肝胃气滞、胸胁胀痛、胃脘痞满、食少呕吐,阴虚有火、无气滞者慎用
沉香,沉水香、蜜香,胸腹胀闷疼痛、胃寒呕吐呃逆、肾虚气逆喘急,阴虚火旺、气虚下陷者慎用；孕妇慎用
丹参,紫丹参、赤参,胸痹心痛、脘腹胁痛、癥瘕积聚、热痹疼痛、心烦不眠、月经不调、痛经经闭、疮疡肿痛,无瘀血者慎用；孕妇慎用；反藜芦；不宜与抗凝药同用
红花,草红花、红蓝花,血滞经闭、痛经、产后瘀阻腹痛、癥瘕积聚、跌打损伤、瘀滞肿痛,孕妇禁用；月经过多、有出血倾向者忌用
桃仁,光桃仁、桃核仁,经闭痛经、癥瘕痞块、跌打损伤、肠燥便秘、肺痈肠痈、咳嗽气喘,孕妇禁用；便溏者慎用；有小毒，不可生食
益母草,坤草、茺蔚,月经不调、痛经经闭、恶露不尽、水肿尿少、疮疡肿毒,孕妇禁用；阴虚血少、无瘀滞者忌用
泽兰,虎兰、水香,血瘀经闭、痛经、产后瘀滞腹痛、癥瘕、水肿、跌打损伤,孕妇慎用；无瘀滞者不宜
牛膝,怀牛膝、准牛膝,腰膝酸痛、筋骨无力、经闭癥瘕、肝阳眩晕、淋证、水肿、小便不利、吐血衄血,孕妇禁用；中气下陷、脾虚泄泻者不宜
三七,田七、参三七、金不换,咯血吐血、衄血便血、崩漏、外伤出血、胸腹刺痛、跌打肿痛,孕妇慎用；血虚无瘀者忌用；忌与抗凝药同用
郁金,玉金、川郁金,胸胁刺痛、胸痹心痛、经闭痛经、癥瘕痞块、热病神昏、癫痫发狂、黄疸尿赤,孕妇慎用；阴虚失血、无气滞血瘀者忌用
姜黄,宝鼎香、姜黄片,胸胁刺痛、胸痹心痛、痛经经闭、癥瘕、风湿肩臂疼痛、跌打肿痛,孕妇慎用；血虚无气滞血瘀者慎用
鸡血藤,血风藤、血藤,月经不调、经行不畅、痛经、血虚萎黄、风湿痹痛、肢体麻木,阴虚火旺者慎用
三棱,京三棱、荆三棱,癥瘕痞块、瘀血经闭、食积胀痛,孕妇禁用；月经过多者忌用
五灵脂,灵脂、寒号虫粪,瘀血阻滞、心腹胸胁刺痛、痛经经闭、产后瘀阻、跌打肿痛,孕妇慎用；畏人参
蒲黄,蒲棒花粉、香蒲,吐血衄血、咯血、崩漏、外伤出血、经闭痛经、胸腹刺痛,孕妇慎用；无瘀滞者不宜
自然铜,石髓铅、接骨丹,跌打损伤、筋骨折伤、瘀肿疼痛,孕妇慎用；阴虚血少者不宜久服
土鳖虫,地鳖虫、土元、地鳖,跌打损伤、筋伤骨折、血瘀经闭、产后瘀阻腹痛,孕妇禁用；月经过多者忌用
桂枝,桂枝尖、嫩桂枝,风寒感冒、脘腹冷痛、血寒经闭、关节痹痛、痰饮水肿、心悸,温热病、阴虚阳盛、血热出血者忌用；孕妇慎用
荆芥,假苏、四棱杆蒿,感冒头痛、风疹瘙痒、疮疡初起、便血、崩漏,表虚自汗、阴虚头痛者忌用
防风,关防风、东防风,感冒头痛、风湿痹痛、风疹瘙痒、破伤风,血虚发痉、阴虚火旺者慎用
羌活,川羌活、蚕羌,风寒感冒头痛、项强、风寒湿痹、肩背酸痛,阴血亏虚、阴虚头痛者慎用
细辛,北细辛、辽细辛,风寒感冒、鼻塞头痛、牙痛、风湿痹痛、痰饮喘咳,阴虚阳亢头痛、肺燥干咳者忌用；有小毒，用量不宜过大；反藜芦
薄荷,苏薄荷、龙脑薄荷,风热感冒、头痛目赤、咽喉肿痛、口疮、风疹瘙痒、肝郁气滞,体虚多汗者不宜；孕妇慎用
蝉蜕,蝉衣、蝉壳,风热感冒、咽痛音哑、麻疹不透、风疹瘙痒、目赤翳障、惊风夜啼,孕妇慎用；气虚者不宜
辛夷,木笔花、望春花,风寒头痛、鼻塞流涕、鼻渊鼻鼽,阴虚火旺者忌用；本品有绒毛，入煎剂宜包煎
苍耳子,苍耳、葈耳,风寒头痛、鼻渊流涕、风疹瘙痒、风湿痹痛,血虚头痛者忌用；有小毒，不可过量久服
菊花,杭菊花、甘菊花、贡菊,风热感冒、头痛眩晕、目赤肿痛、眼目昏花,气虚胃寒、食少泄泻者慎用
葛根,粉葛根、干葛,外感发热头痛、项背强痛、口渴消渴、麻疹不透、热痢泄泻、高血压颈项强痛,胃寒、表虚汗多者慎用
升麻,绿升麻,风热头痛、齿痛口疮、咽喉肿痛、麻疹不透、久泻脱肛、子宫脱垂,阴虚火旺、麻疹已透者忌用
柴胡,北柴胡、竹叶柴胡,感冒发热、寒热往来、胸胁胀痛、月经不调、子宫脱垂、脱肛,肝阳上亢、阴虚火旺者慎用
金银花,银花、双花、二花,痈肿疔疮、喉痹咽痛、风热感冒、温病发热、热毒血痢,脾胃虚寒、气虚疮疡脓清者忌用
连翘,连召、黄花条,痈疽瘰疬、乳痈丹毒、风热感冒、温病初起、热淋尿闭,脾胃虚寒、气虚脓清者不宜
板蓝根,菘蓝根、靛青根,温疫时毒、发热咽痛、温毒发斑、痄腮、烂喉丹痧、大头瘟疫、痈肿疮毒,体虚而无实热者忌用；脾胃虚寒者慎用
蒲公英,黄花地丁、婆婆丁,痈肿疔毒、乳痈、瘰疬、目赤咽痛、肺痈肠痈、湿热黄疸、热淋涩痛,脾胃虚寒者慎用；用量过大可致腹泻
紫花地丁,地丁、紫地丁,疔疮肿毒、痈疽发背、丹毒、乳痈、肠痈、毒蛇咬伤,体质虚寒者慎用
穿心莲,一见喜、榄核莲,感冒发热、咽喉肿痛、口舌生疮、泄泻痢疾、热淋涩痛、痈肿疮疡,脾胃虚寒者不宜久服；孕妇慎用
白花蛇舌草,蛇舌草、二叶葎,痈肿疮毒、咽喉肿痛、毒蛇咬伤、热淋涩痛、湿热黄疸,脾胃虚寒者慎用；孕妇慎用
半枝莲,狭叶韩信草、并头草,疔疮肿毒、咽喉肿痛、毒蛇咬伤、跌打伤痛、水肿黄疸,血虚者及孕妇慎用
射干,乌扇、扁竹,咽喉肿痛、痰涎壅盛、咳嗽气喘,脾虚便溏、孕妇慎用
山豆根,广豆根、苦豆根,咽喉肿痛、牙龈肿痛、湿热黄疸、肺热咳嗽,脾胃虚寒泄泻者忌用；不可过量（过量可致呕吐腹泻）
白头翁,老翁花、白头公,热毒血痢、阴痒带下,虚寒泻痢者忌用
苦参,苦骨、地槐,热痢便血、黄疸尿闭、赤白带下、阴肿阴痒、湿疹湿疮、皮肤瘙痒、疥癣麻风,脾胃虚寒者忌用；反藜芦
黄芩,枯芩、子芩、条芩,湿热泻痢、黄疸、肺热咳嗽、高热烦渴、血热吐衄、痈肿疮毒、胎动不安,脾胃虚寒、中寒腹痛者忌用；孕妇慎用
黄连,川连、味连、雅连,湿热痞满呕吐、泻痢、黄疸、高热神昏、心火亢盛、心烦不寐、血热吐衄、痈肿疮疖,脾胃虚寒、胃寒呕吐、阴虚津伤者忌用；不宜久服
栀子,山栀子、枝子,热病心烦、湿热黄疸、淋证涩痛、血热吐衄、目赤肿痛、火毒疮疡,脾虚便溏、食少者忌用
黄柏,黄檗、川黄柏,湿热泻痢、黄疸尿赤、带下阴痒、热淋涩痛、骨蒸劳热、盗汗遗精、疮疡肿毒,脾胃虚寒、阳虚遗精者忌用
知母,肥知母、知母肉,热病烦渴、肺热燥咳、骨蒸潮热、内热消渴、肠燥便秘,脾虚便溏者忌用；表证未解者不宜
玄参,元参、黑参、乌元参,温邪入营、温毒发斑、热病伤阴、舌绛烦渴、骨蒸劳嗽、目赤咽痛、瘰疬痈肿,脾虚便溏、脾胃有湿者忌用；反藜芦
生地,生地黄、干地黄,热入营血、温毒发斑、舌绛烦渴、阴虚内热、骨蒸劳热、津伤便秘、血热出血,脾虚湿滞、腹满便溏者忌用
牡丹皮,丹皮、粉丹皮,温毒发斑、血热吐衄、温病伤阴、阴虚发热、骨蒸劳热、经闭痛经、痈肿疮毒,血虚有寒、孕妇及月经过多者慎用
赤芍,赤芍药、木芍药,温毒发斑、血热吐衄、目赤肿痛、痈肿疮疡、经闭痛经、癥瘕腹痛、跌打损伤,血虚无瘀者不宜；反藜芦；孕妇慎用
紫草,紫草根、硬紫草,血热毒盛、斑疹紫黑、麻疹不透、疮疡湿疹、水火烫伤,脾胃虚弱、便溏者忌用
地骨皮,枸杞根皮,阴虚潮热、骨蒸盗汗、肺热咳嗽、咯血衄血、内热消渴,外感风寒发热、脾虚便溏者忌用
青蒿,香蒿、青蒿,温邪伤阴、夜热早凉、阴虚发热、骨蒸劳热、疟疾寒热、湿热黄疸,脾胃虚寒、产后血虚者慎用
决明子,草决明、马蹄决明,目赤涩痛、羞明多泪、头痛眩晕、目暗不明、大便秘结,脾虚便溏者忌用；孕妇慎用
夏枯草,夏枯球、铁色草,目赤肿痛、头痛眩晕、目珠夜痛、瘰疬瘿瘤、乳痈肿痛,脾胃虚寒者慎用；孕妇慎用
半夏,旱半夏、三叶半夏,湿痰寒痰、咳喘痰多、痰饮眩悸、呕吐反胃、胸脘痞闷、梅核气,阴虚燥咳、血证、热痰燥痰者忌用；孕妇慎用；有毒须炮制，反乌头
天南星,南星、虎掌,顽痰咳嗽、风痰眩晕、中风痰壅、癫痫、惊风、破伤风,阴虚燥痰、孕妇禁用；有毒须炮制，反乌头
浙贝母,象贝、大贝,风热咳嗽、痰火咳嗽、肺痈乳痈、瘰疬疮毒,脾胃虚寒、寒痰湿痰者忌用；反乌头
竹茹,竹二青、淡竹茹,痰热咳嗽、胆火夹痰、烦热呕吐、惊悸失眠、中风痰迷,胃寒呕吐、脾虚泄泻者不宜
前胡,信前胡,风热咳嗽、痰热喘满、咯痰黄稠,阴虚咳嗽、寒痰咳嗽者慎用
杏仁,苦杏仁、北杏仁,咳嗽气喘、胸满痰多、血虚津枯、肠燥便秘,阴虚咳喘、大便溏泄者忌用；有小毒，不可生食过量；婴儿慎用
紫菀,紫菀茸、小辫,痰多喘咳、新久咳嗽、劳嗽咳血,阴虚火旺、肺有实热者不宜
款冬花,冬花、款冬,新久咳嗽、喘咳痰多、劳嗽咳血,肺痈咳吐脓血者慎用
百部,百部根、嗽药,新久咳嗽、百日咳、肺痨咳嗽、蛲虫、头虱体虱,脾虚便溏者慎用
胖大海,大海、安南子、通大海,肺热声哑、干咳无痰、咽喉干痛、热结便闭,脾胃虚寒泄泻者忌用；风寒咳嗽者不宜
罗汉果,拉汗果、假苦瓜,肺热燥咳、咽痛失音、肠燥便秘,脾胃虚寒、便溏者慎用
酸枣仁,枣仁、酸枣核,虚烦不眠、惊悸多梦、体虚多汗、津伤口渴,实邪郁火及滑泄者慎用
柏子仁,柏实、侧柏仁,虚烦不眠、心悸怔忡、肠燥便秘,便溏多痰者慎用
远志,远志肉、志筒,心肾不交、失眠多梦、健忘惊悸、神志恍惚、咳痰不爽,阴虚火旺、脾胃虚弱者慎用；孕妇慎用
合欢皮,合昏皮、夜合皮,心神不安、忧郁失眠、肺痈疮肿、跌打伤痛,孕妇慎用；溃疡病及胃炎患者慎用
首乌藤,夜交藤,虚烦不眠、多梦、血虚身痛、风湿痹痛、皮肤瘙痒,外感表证者慎用
龙骨,白龙骨、花龙骨,心神不安、心悸失眠、惊痫癫狂、肝阳眩晕、滑脱诸证、湿疮痒疹,湿热积滞者忌用；孕妇慎用
磁石,灵磁石、吸铁石,头晕目眩、视物昏花、耳鸣耳聋、惊悸失眠、肾虚气喘,脾胃虚弱者慎用；不宜久服
朱砂,辰砂、丹砂,心悸易惊、失眠多梦、癫痫发狂、视物昏花、口疮喉痹、疮疡肿毒,孕妇禁用；有毒，不宜大量久服；忌火煅；肝肾功不全者禁用
天麻,赤箭、定风草,头痛眩晕、肢体麻木、小儿惊风、癫痫抽搐、破伤风,血虚、阴虚者慎用
钩藤,双钩藤、钩丁,肝风内动、惊痫抽搐、高热惊厥、感冒夹惊、头痛眩晕,无风热及实火者慎用；不宜久煎
全蝎,全虫、蝎子,惊风抽搐、癫痫、中风半身不遂、口眼歪斜、偏头痛、风湿痹痛、疮疡肿毒,孕妇禁用；有毒，血虚生风者慎用，不宜过量
僵蚕,白僵蚕、天虫,惊痫抽搐、风中经络、口眼歪斜、风热头痛、目赤咽痛、风疹瘙痒、痰核瘰疬,孕妇慎用；过敏体质者慎用
地龙,蚯蚓、曲蟮,高热神昏、惊痫抽搐、关节痹痛、肢体麻木、半身不遂、肺热喘咳、尿少水肿,脾胃虚寒者不宜；孕妇慎用；血压过低者忌用
石决明,鲍鱼壳、九孔螺,头痛眩晕、目赤翳障、视物昏花、青盲雀目,脾胃虚寒者慎用；孕妇慎用
牡蛎,左牡蛎、海蛎子壳,眩晕耳鸣、惊悸失眠、自汗盗汗、遗精、崩漏带下、胃痛泛酸、瘰疬痰核,虚寒证不宜；多服易致便秘
珍珠母,真珠母、珠母,头痛眩晕、烦躁失眠、肝热目赤、肝虚目昏、湿疹瘙痒,脾胃虚寒、胃寒疼痛者慎用
茯苓,云苓、白茯苓、茯灵,水肿尿少、痰饮眩悸、脾虚食少、便溏泄泻、心神不安、惊悸失眠,阴虚而无湿热、虚寒滑精、气虚下陷者慎用
泽泻,建泽泻、文旦,小便不利、水肿胀满、泄泻尿少、痰饮眩晕、热淋涩痛、高脂血症,肾虚滑精、无湿热者忌用
薏苡仁,薏米、苡仁、六谷米,水肿脚气、小便不利、脾虚泄泻、肺痈肠痈、扁平疣,脾虚无湿、大便燥结及孕妇慎用
木通,川木通、细木通,淋证涩痛、水肿、小便不利、经闭乳少、湿热痹痛,孕妇慎用；肾气虚、滑精者不宜；不可大量久服
通草,通脱木、白通草,淋证涩痛、水肿尿少、产后乳汁不下,气阴两虚、内无湿热者忌用；孕妇慎用
金钱草,过路黄、大金钱草,湿热黄疸、胆胀胁痛、石淋热淋、痈肿疔疮、毒蛇咬伤,脾胃虚寒者慎用；孕妇慎用
茵陈,绵茵陈、茵陈蒿,黄疸尿少、湿温暑湿、湿疮瘙痒,蓄血发黄、血虚萎黄者慎用；孕妇慎用
山楂,山里红、红果,肉食积滞、胃脘胀满、泻痢腹痛、瘀血经闭、产后瘀阻、心腹刺痛,脾胃虚弱、无积滞者慎用；孕妇慎用
神曲,六神曲、六曲,食积不化、脘腹胀满、食少泄泻,脾胃虚弱者不宜过量
麦芽,大麦芽、麦蘖,食积不消、脘腹胀满、脾虚食少、乳汁郁积、乳房胀痛,妇女授乳期不宜（有回乳作用）
谷芽,稻芽、粟芽,食积不消、腹胀口臭、脾胃虚弱、不饥食少,无特殊禁忌，痰湿重者慎用
莱菔子,萝卜子,食积气滞、脘腹胀满、嗳气吞酸、泻痢后重、痰壅喘咳,气虚、无食积痰滞者慎用；服人参、生熟地者不宜同用
鸡内金,鸡盹皮、内金,食积不消、呕吐泻痢、小儿疳积、遗尿遗精、石淋涩痛,脾虚无积滞者慎用
贯众,贯仲、管仲,风热感冒、温热斑疹、痄腮、虫积腹痛、血热出血,脾胃虚寒者慎用；孕妇禁用；有小毒，不宜过量久服
常山,鸡骨常山、黄常山,疟疾寒热、胸中痰饮,孕妇禁用；年老体弱者慎用；有毒，不宜过量久服
五味子,北五味、辽五味,久嗽虚喘、梦遗滑精、遗尿尿频、久泻不止、自汗盗汗、津伤口渴、内热消渴、心悸失眠,外有表邪、内有实热或咳嗽初起、痧疹初发者忌用
乌梅,酸梅、乌梅肉,肺虚久咳、久痢滑肠、虚热消渴、蛔厥呕吐腹痛、胆道蛔虫,外有表邪、内有实热积滞者忌用
山茱萸,山萸肉、枣皮,腰膝酸软、头晕耳鸣、阳痿遗精、遗尿尿频、崩漏带下、大汗虚脱、内热消渴,命门火炽、素有湿热、小便淋涩者忌用
覆盆子,覆盆、小托盘,遗精滑精、遗尿尿频、阳痿早泄、目暗昏花,肾虚有火、小便短涩者慎用
桑螵蛸,螳螂子、刀螂子,遗精滑精、遗尿尿频、小便白浊、阳痿,阴虚火旺、膀胱有热者忌用
诃子,诃黎勒、诃子肉,久泻久痢、便血脱肛、肺虚喘咳、久嗽不止、咽痛音哑,外邪未解、内有湿热积滞者忌用
肉豆蔻,肉果、玉果,虚泻冷痢、脘腹冷痛、食少呕吐、宿食不消,湿热泻痢、阴虚火旺者忌用；有毒，不可过量
赤石脂,红土子、高岭土,久泻久痢、便血脱肛、遗精带下、溃疡不敛、外伤出血,孕妇慎用；湿热积滞泻痢者忌用；畏官桂
白矾,明矾、矾石,中风癫痫、喉痹痰壅、疥癣湿疮、久泻久痢、便血崩漏,阴虚血少者忌内服；体虚者不宜久服
蛇床子,蛇米、蛇粟,阴痒带下、湿疹瘙痒、湿痹腰痛、肾虚阳痿、宫冷不孕,阴虚火旺、下焦湿热者忌内服
大血藤,红藤、活血藤,肠痈腹痛、热毒疮疡、经闭痛经、跌打肿痛、风湿痹痛,孕妇慎用
络石藤,络石、石龙藤,风湿热痹、筋脉拘挛、腰膝酸痛、喉痹、痈肿,阳虚畏寒、大便溏泄者慎用
路路通,枫果、九孔子,风湿痹痛、肢体麻木、水肿、小便不利、乳汁不通、风疹瘙痒,孕妇禁用；阴虚血燥者慎用
五加皮,南五加皮、五加,风湿痹痛、筋骨痿软、小儿行迟、体虚乏力、水肿脚气,阴虚火旺者慎用；孕妇慎用
